,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1366,2016-07-14,BTCUSD,"661,55","663,48","650,67","658,98","1384,3","912790,13"
1367,2016-07-13,BTCUSD,"673,99","673,99","657,02","661,55","1512,05","1001514,36"
1368,2016-07-12,BTCUSD,"650,83","674,83","647,73","673,99","1808,13","1200532,71"
1369,2016-07-11,BTCUSD,"649,99","658,99","645,0","650,83","1042,84","677341,2"
1370,2016-07-10,BTCUSD,"654,78","654,78","640,4","649,99","506,06","327412,58"
1371,2016-07-09,BTCUSD,"661,99","661,99","625,33","654,78","1238,13","798850,06"
1372,2016-07-08,BTCUSD,"637,99","662,71","637,98","661,99","919,76","599367,63"
1373,2016-07-07,BTCUSD,"674,99","679,51","611,35","637,99","2061,51","1306966,88"
1374,2016-07-06,BTCUSD,"666,23","679,5","665,7","674,99","871,12","586279,59"
1375,2016-07-05,BTCUSD,"679,45","679,89","661,13","666,23","1199,34","804016,94"
1376,2016-07-04,BTCUSD,"664,67","679,88","649,38","679,45","918,02","618617,4"
1377,2016-07-03,BTCUSD,"699,99","703,03","645,86","664,67","644,4","433777,95"
1378,2016-07-02,BTCUSD,"680,96","699,99","677,6","699,99","896,79","619632,93"
1379,2016-07-01,BTCUSD,"673,43","693,31","668,6","680,96","1702,24","1154838,66"
1380,2016-06-30,BTCUSD,"640,32","675,28","637,34","673,43","2150,8","1420640,63"
1381,2016-06-29,BTCUSD,"648,78","650,51","631,43","640,32","1770,39","1136953,81"
1382,2016-06-28,BTCUSD,"650,09","657,15","636,47","648,78","1357,52","881985,23"
1383,2016-06-27,BTCUSD,"631,14","655,0","621,38","650,09","1478,9","950148,12"
1384,2016-06-26,BTCUSD,"665,15","665,15","614,04","631,14","752,93","473629,94"
1385,2016-06-25,BTCUSD,"662,66","696,99","646,42","665,15","602,99","409368,44"
1386,2016-06-24,BTCUSD,"628,11","680,0","625,13","662,66","2033,06","1324010,48"
1387,2016-06-23,BTCUSD,"600,16","634,83","560,01","628,11","3468,79","2055230,68"
1388,2016-06-22,BTCUSD,"673,71","678,99","600,16","600,16","2846,6","1826484,51"
1389,2016-06-21,BTCUSD,"741,84","741,84","625,0","673,71","3538,43","2378322,18"
1390,2016-06-20,BTCUSD,"763,99","763,99","725,95","741,84","1448,98","1076472,95"
1391,2016-06-19,BTCUSD,"755,14","765,0","746,28","763,99","887,81","676639,48"
1392,2016-06-18,BTCUSD,"757,06","788,55","735,64","755,14","1571,48","1201480,95"
1393,2016-06-17,BTCUSD,"764,76","774,32","707,45","757,06","3186,88","2374921,84"
1394,2016-06-16,BTCUSD,"692,93","773,74","692,66","764,76","5929,71","4398013,4"
1395,2016-06-15,BTCUSD,"685,37","696,46","668,39","692,93","2888,29","1967969,36"
1396,2016-06-14,BTCUSD,"704,0","704,01","662,01","685,37","4373,4","2999059,67"
1397,2016-06-13,BTCUSD,"663,09","719,0","663,09","704,0","3540,96","2447557,85"
1398,2016-06-12,BTCUSD,"597,77","683,63","597,77","663,09","2148,82","1367149,19"
1399,2016-06-11,BTCUSD,"578,99","598,64","578,99","597,77","758,37","446469,86"
1400,2016-06-10,BTCUSD,"579,13","580,9","575,05","578,99","1282,29","740757,64"
1401,2016-06-09,BTCUSD,"581,99","583,15","572,42","579,13","1104,31","638344,17"
1402,2016-06-08,BTCUSD,"580,0","583,75","574,87","581,99","1506,32","873277,55"
1403,2016-06-07,BTCUSD,"584,44","589,08","566,75","580,0","1167,17","676863,39"
1404,2016-06-06,BTCUSD,"574,05","587,89","574,04","584,44","1169,13","682767,46"
1405,2016-06-05,BTCUSD,"573,51","584,8","566,56","574,05","359,61","207230,63"
1406,2016-06-04,BTCUSD,"570,02","590,0","562,48","573,51","685,37","393390,84"
1407,2016-06-03,BTCUSD,"539,78","577,13","535,71","570,02","2370,26","1324395,31"
1408,2016-06-02,BTCUSD,"539,99","539,99","533,25","539,78","1057,66","567672,33"
1409,2016-06-01,BTCUSD,"530,62","544,99","524,76","539,99","2248,01","1207745,38"
1410,2016-05-31,BTCUSD,"532,66","544,84","520,86","530,62","1446,16","771433,23"
1411,2016-05-30,BTCUSD,"519,29","542,81","516,63","532,66","368,0","195825,92"
1412,2016-05-29,BTCUSD,"526,87","558,46","500,0","519,29","793,63","415659,54"
1413,2016-05-28,BTCUSD,"476,99","535,73","472,85","526,87","1922,58","957274,99"
1414,2016-05-27,BTCUSD,"454,27","480,0","454,27","476,99","1669,41","788742,88"
1415,2016-05-26,BTCUSD,"449,9","454,3","449,9","454,27","1238,38","561015,63"
1416,2016-05-25,BTCUSD,"445,87","449,99","445,64","449,9","719,99","322660,95"
1417,2016-05-24,BTCUSD,"443,86","446,98","442,98","445,87","1462,87","651256,28"
1418,2016-05-23,BTCUSD,"437,74","443,86","437,35","443,86","1225,1","541640,05"
1419,2016-05-22,BTCUSD,"443,41","443,41","436,48","437,74","701,93","309283,08"
1420,2016-05-21,BTCUSD,"442,99","443,46","442,08","443,41","751,61","333109,85"
1421,2016-05-20,BTCUSD,"443,01","443,63","438,2","442,99","990,25","437622,24"
1422,2016-05-19,BTCUSD,"455,01","455,01","441,79","443,01","1457,52","653772,34"
1423,2016-05-18,BTCUSD,"454,69","455,99","454,43","455,01","1672,81","761711,39"
1424,2016-05-17,BTCUSD,"454,43","455,48","452,74","454,69","962,63","437597,27"
1425,2016-05-16,BTCUSD,"457,99","458,67","452,54","454,43","1178,48","538651,79"
1426,2016-05-15,BTCUSD,"456,67","457,99","456,36","457,99","230,11","105158,24"
1427,2016-05-14,BTCUSD,"457,46","457,48","454,01","456,67","275,1","125656,77"
1428,2016-05-13,BTCUSD,"453,99","458,0","453,99","457,46","1368,06","624569,19"
1429,2016-05-12,BTCUSD,"451,98","453,99","449,3","453,99","1126,7","509610,66"
1430,2016-05-11,BTCUSD,"451,75","454,05","451,74","451,98","1612,89","731150,47"
1431,2016-05-10,BTCUSD,"460,98","462,98","446,01","451,75","1006,4","455323,39"
1432,2016-05-09,BTCUSD,"458,0","463,99","456,81","460,98","1280,41","590431,5"
1433,2016-05-08,BTCUSD,"459,66","459,66","456,92","458,0","158,15","72453,39"
1434,2016-05-07,BTCUSD,"461,36","461,88","458,83","459,66","556,21","255968,44"
1435,2016-05-06,BTCUSD,"448,99","463,4","448,28","461,36","943,65","428824,82"
1436,2016-05-05,BTCUSD,"448,0","448,99","447,01","448,99","916,95","410899,7"
1437,2016-05-04,BTCUSD,"451,99","451,99","447,46","448,0","1108,17","497659,99"
1438,2016-05-03,BTCUSD,"446,36","452,0","443,69","451,99","1124,91","504046,31"
1439,2016-05-02,BTCUSD,"452,66","453,99","441,31","446,36","1898,57","846639,71"
1440,2016-05-01,BTCUSD,"450,3","453,63","448,26","452,66","345,76","156471,22"
1441,2016-04-30,BTCUSD,"455,91","456,78","448,24","450,3","289,92","131025,36"
1442,2016-04-29,BTCUSD,"448,99","456,98","448,83","455,91","1438,18","651149,45"
1443,2016-04-28,BTCUSD,"448,44","448,99","435,72","448,99","2024,84","901276,78"
1444,2016-04-27,BTCUSD,"468,44","469,36","447,03","448,44","2264,18","1036759,2"
1445,2016-04-26,BTCUSD,"465,9","470,69","463,49","468,44","1326,16","619399,18"
1446,2016-04-25,BTCUSD,"461,05","468,67","453,78","465,9","2696,92","1245577,49"
1447,2016-04-24,BTCUSD,"452,0","462,88","449,97","461,05","1451,81","663084,51"
1448,2016-04-23,BTCUSD,"447,79","452,0","447,23","452,0","962,76","433217,1"
1449,2016-04-22,BTCUSD,"451,0","451,03","445,26","447,79","1071,76","479782,4"
1450,2016-04-21,BTCUSD,"443,54","451,0","441,86","451,0","2331,07","1038975,71"
1451,2016-04-20,BTCUSD,"435,0","445,0","434,99","443,54","1732,3","760561,43"
